date,reserve,min,max,planned,coal_type
2017-05-30,179.628,100.0,325.0,262.01366078345586,Г
2017-05-04,214.193,100.0,325.0,179.44926794686384,Г
2017-03-23,247.541,100.0,325.0,188.36151707203635,Г
2017-06-14,162.117,100.0,325.0,212.61686469361769,Г
2017-04-12,235.294,100.0,325.0,180.17411990176862,Г
2017-05-03,213.323,100.0,325.0,178.70332052647507,Г
2017-04-27,209.43,100.0,325.0,177.8351507838178,Г
2017-05-10,208.14,100.0,325.0,247.0947123756808,Г
2017-05-23,183.07,100.0,325.0,256.7920288407346,Г
2017-03-17,239.402,100.0,325.0,188.78503739196893,Г
2017-07-05,131.258,100.0,325.0,151.82222135195582,Г
2017-04-24,214.835,100.0,325.0,178.30294460740797,Г
2017-02-24,210.901,100.0,325.0,203.65197737653568,Г
2017-02-23,208.452,100.0,325.0,204.362213752594,Г
2017-05-13,200.183,100.0,325.0,249.33255463684708,Г
2017-07-27,133.456,100.0,325.0,144.3307468279768,Г
2017-06-26,151.91,100.0,325.0,157.54269033464334,Г
2017-05-16,193.921,100.0,325.0,251.5703968980133,Г
2017-03-09,234.227,100.0,325.0,194.5380624145797,Г
2017-04-13,233.563,100.0,325.0,180.01818862723857,Г
2017-07-18,108.484,100.0,325.0,147.39544095142276,Г
2017-07-13,114.993,100.0,325.0,149.09804879778164,Г
2017-05-25,184.109,100.0,325.0,258.2839236815121,Г
2017-04-26,210.326,100.0,325.0,177.99108205834784,Г
2017-03-01,216.814,100.0,325.0,200.1007954962442,Г
2017-03-07,228.841,100.0,325.0,195.97631867023242,Г
2017-07-12,118.41900000000001,100.0,325.0,149.43857036705342,Г
2017-03-29,249.871,100.0,325.0,184.04674830507827,Г
2017-07-17,110.16,100.0,325.0,147.73596252069453,Г
2017-03-28,253.964,100.0,325.0,184.76587643290463,Г
2017-04-07,238.705,100.0,325.0,180.95377627441889,Г
2017-06-01,174.404,100.0,325.0,263.50555562423335,Г
2017-03-22,245.218,100.0,325.0,185.18939675283718,Г
2017-03-21,242.448,100.0,325.0,185.90852488066352,Г
2017-03-02,216.525,100.0,325.0,199.23550069925534,Г
2017-03-27,252.318,100.0,325.0,185.48500456073097,Г
2017-07-25,127.99,100.0,325.0,145.01178996652035,Г
2017-04-18,230.058,100.0,325.0,179.23853225458828,Г
2017-07-07,123.641,100.0,325.0,151.141178213412,Г
2017-04-03,246.418,100.0,325.0,181.5775013725391,Г
2017-06-20,151.668,100.0,325.0,227.91311084746383,Г
2017-03-15,238.051,100.0,325.0,190.22329364762163,Г
2017-05-31,174.283,100.0,325.0,262.7596082038446,Г
2017-07-24,123.861,100.0,325.0,145.35231153579213,Г
2017-03-13,237.879,100.0,325.0,191.6615499032743,Г
2017-03-31,247.845,100.0,325.0,182.60849204942556,Г
2017-06-06,173.564,100.0,325.0,192.2218698218228,Г
2017-06-08,171.479,100.0,325.0,197.3206185397715,Г
2017-05-29,182.748,100.0,325.0,261.2677133630671,Г
2017-03-10,235.688,100.0,325.0,193.81893428675338,Г
2017-04-28,208.476,100.0,325.0,177.67921950928775,Г
